"",""
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Account %1","Account %1"
"Account Information","Account Information"
"Account to delete was not found.","Account to delete was not found."
"Account","Account"
"Accounts","Accounts"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Create New Account","Create New Account"
"Delete Account","Delete Account"
"Edit Account '%1'","Edit Account '%1'"
"ID","ID"
"Name","Name"
"New Account","New Account"
"Please Select Accounts.","Please Select Accounts."
"Save Account","Save Account"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Account.","Something went wrong while saving the Account."
"The Account has been deleted.","The Account has been deleted."
"The Account has been saved.","The Account has been saved."
"This Account no longer exists.","This Account no longer exists."
